종목코드,업종
018880,자동차부품
011780,화학
066570,전자제품
009150,전자장비와기기
009420,제약
030000,광고
069620,제약
020150,전자장비와기기
025860,화학
003030,철강
006120,석유와가스
003620,자동차
000240,자동차부품
004000,화학
011200,해운사
010140,조선
001130,식품
001230,철강
001440,전기장비
000810,손해보험
000720,건설
069960,백화점과일반상점
097230,건설
011170,화학
000140,음료
097950,식품
000120,항공화물운송과물류
086790,은행
086280,항공화물운송과물류
103590,전기장비
010130,비철금속
007690,화학
023530,백화점과일반상점
005090,에너지장비및서비스
013570,기계
004490,자동차부품
012630,건설
005300,음료
000480,비철금속
002960,화학
003000,제약
049770,식품
082740,조선
004150,종이와목재
012330,자동차부품
005380,자동차
004020,철강
020760,디스플레이패널
108670,건축자재
003920,식품
096770,석유와가스
028670,해운사
025540,자동차부품
016360,증권
003300,건축자재
005950,화학
004430,화학
105560,은행
138930,은행
017800,기계
090430,화장품
185750,제약
000430,자동차부품
016380,철강
007570,제약
035250,"호텔,레스토랑,레저"
025000,화학
051910,화학
115390,포장재
029780,카드
032830,생명보험
000070,화학
000660,반도체와반도체장비
003240,화학
005930,반도체와반도체장비
008060,전자장비와기기
042660,조선
000640,제약
001740,복합기업
128940,제약
006800,증권
004710,전자장비와기기
002790,화장품
007340,자동차부품
007860,자동차부품
088350,생명보험
011210,자동차부품
036570,게임엔터테인먼트
006400,전기제품
001430,철강
000700,항공화물운송과물류
055550,은행
004990,복합기업
005830,손해보험
000210,화학
009830,에너지장비및서비스
000080,음료
010780,건설
000270,자동차
002020,복합기업
073240,자동차부품
034220,디스플레이패널
093050,"섬유,의류,신발,호화품"
011070,전자장비와기기
009580,종이와목재
002350,자동차부품
010060,화학
005690,화학
017670,무선통신서비스
077970,조선
000670,핸드셋
028260,복합기업
003480,가스유틸리티
105630,"섬유,의류,신발,호화품"
033780,담배
000050,"섬유,의류,신발,호화품"
103140,비철금속
064960,자동차부품
004170,백화점과일반상점
120110,화학
052690,전기유틸리티
078520,화장품
005180,식품
008040,식품
020000,"섬유,의류,신발,호화품"
002240,철강
032640,무선통신서비스
035420,양방향미디어와서비스
004370,식품
012750,상업서비스와공급품
001520,건축자재
078930,석유와가스
001680,식품
042670,기계
093370,화학
006280,제약
069260,화학
010690,자동차부품
004800,복합기업
030200,다각화된통신서비스
003550,복합기업
006260,전기장비
009680,자동차부품
005850,자동차부품
001120,무역회사와판매업체
003490,항공사
019680,교육서비스
000150,복합기업
000880,복합기업
007310,식품
029530,사무용전자제품
051900,화장품
006360,건설
006380,화학
021240,가정용기기와용품
015760,전기유틸리티
104700,철강
036460,가스유틸리티
033920,음료
001800,식품
005490,철강
000100,제약
014830,화학
047050,무역회사와판매업체
047040,건설
002380,건축자재
011790,화학
011810,무역회사와판매업체
071050,증권
009540,조선
024110,은행
034120,방송과엔터테인먼트
034020,기계
005940,증권
000020,제약
000040,자동차
000180,종이와목재
000220,제약
000230,제약
000300,자동차부품
000320,건축자재
000370,손해보험
000390,건축자재
000400,손해보험
000490,기계
000500,전기장비
000520,제약
000540,손해보험
000590,철강
000650,도로와철도운송
000680,판매업체
000760,화학
000850,기계
000860,건축자재
000890,음료
000910,건축자재
000950,"섬유,의류,신발,호화품"
000970,철강
001020,종이와목재
001060,제약
001070,"섬유,의류,신발,호화품"
001080,철강
001140,항공화물운송과물류
001200,증권
001210,디스플레이장비및부품
001260,건설
001270,증권
001290,증권
001340,화학
001360,제약
001390,자동차
001420,자동차부품
001450,손해보험
001460,"섬유,의류,신발,호화품"
001470,건설
001500,증권
001510,증권
001530,"섬유,의류,신발,호화품"
001550,화학
001560,비철금속
001570,화학
001720,증권
001750,증권
001780,비철금속
001790,식품
001820,전기제품
002030,종이와목재
002070,"섬유,의류,신발,호화품"
002100,화학
002140,식품
002150,건설
002170,"섬유,의류,신발,호화품"
002210,제약
002220,철강
002310,포장재
002320,항공화물운송과물류
002360,화학
002390,제약
002410,건설
002420,전문소매
002450,레저용장비와제품
002460,건설
002600,식품
002630,생물공학
002700,가정용기기와용품
002710,철강
002720,제약
002760,식품
002780,건설
002810,화학
002820,종이와목재
002840,화학
002880,자동차부품
002900,기계
002920,자동차부품
002990,건설
003010,기계
003070,건설
003080,화학
003090,제약
003160,반도체와반도체장비
003200,"섬유,의류,신발,호화품"
003220,제약
003230,식품
003280,해운사
003350,화장품
003460,증권
003470,증권
003520,제약
003530,증권
003540,증권
003560,방송과엔터테인먼트
003580,식품
003610,"섬유,의류,신발,호화품"
003650,화학
003680,식품
003690,손해보험
003720,화학
003780,화학
003830,화학
003850,제약
003960,식품
004060,"섬유,의류,신발,호화품"
004080,건강관리장비와용품
004090,화학
004100,자동차부품
004140,항공화물운송과물류
004250,포장재
004270,전자장비와기기
004310,제약
004360,항공화물운송과물류
004380,기계
004410,식품
004450,포장재
004540,종이와목재
004560,비철금속
004690,가스유틸리티
004700,"섬유,의류,신발,호화품"
004720,제약
004770,전자장비와기기
004830,"섬유,의류,신발,호화품"
004840,자동차부품
004870,건축자재
004890,철강
004910,건축자재
004920,컴퓨터와주변기기
004960,건설
004970,식품
004980,건축자재
005010,철강
005030,자동차부품
005070,화학
005110,상업서비스와공급품
005250,제약
005360,문구류
005390,"섬유,의류,신발,호화품"
005420,화학
005430,운송인프라
453340,식품
005500,제약
005610,식품
005680,전기제품
005720,자동차부품
005740,식품
005750,건축제품
005800,"섬유,의류,신발,호화품"
005810,비철금속
005820,포장재
005870,우주항공과국방
005880,해운사
005960,건설
006040,식품
006060,"섬유,의류,신발,호화품"
006090,식품
006110,비철금속
006200,반도체와반도체장비
006220,은행
006340,전기장비
006370,백화점과일반상점
006490,다각화된통신서비스
006570,건축제품
006660,자동차부품
006740,종이와목재
006890,화학
006980,식품
007070,백화점과일반상점
007110,건축자재
007120,IT서비스
007160,식품
007210,건축자재
007280,철강
007540,식품
007590,화학
007610,전기장비
007660,전자장비와기기
007700,"섬유,의류,신발,호화품"
007810,전자장비와기기
008110,전자장비와기기
008250,건축자재
008260,건축자재
008350,비철금속
008420,철강
008500,자동차부품
008600,"섬유,의류,신발,호화품"
008700,전자제품
008730,포장재
008770,백화점과일반상점
008870,포장재
008930,제약
008970,철강
009070,항공화물운송과물류
009140,전자제품
009180,항공화물운송과물류
009190,비철금속
009200,종이와목재
009240,가구
009270,"섬유,의류,신발,호화품"
009290,제약
009310,디스플레이장비및부품
009410,건설
009440,기계
009450,가정용기기와용품
009460,포장재
009470,전기제품
009770,가정용품
009970,"섬유,의류,신발,호화품"
010040,비철금속
010100,자동차부품
010420,종이와목재
010580,자동차부품
010600,해운사
010640,화학
010660,기계
010770,자동차부품
010820,우주항공과국방
010960,건설
011000,생물공학
011090,가구
011150,식품
011230,전자장비와기기
011280,포장재
011330,"섬유,의류,신발,호화품"
011390,건축자재
011500,화학
011690,디스플레이장비및부품
011700,기계
011760,무역회사와판매업체
011930,반도체와반도체장비
012030,IT서비스
012170,방송과엔터테인먼트
012200,자동차부품
012280,자동차부품
012510,소프트웨어
012610,화학
012690,가정용품
012800,비철금속
013000,판매업체
013360,건설
013520,자동차부품
013580,건설
013700,건설
013870,자동차부품
014130,항공화물운송과물류
014160,포장재
014280,건축제품
014440,화학
014530,석유와가스
014580,비철금속
014680,화학
014710,식품
014820,포장재
014910,전기제품
014990,"섬유,의류,신발,호화품"
015020,부동산
015230,기계
015260,전자장비와기기
015590,기계
015860,전기장비
015890,비철금속
016090,"섬유,의류,신발,호화품"
016450,"섬유,의류,신발,호화품"
016580,제약
016590,포장재
016610,증권
016710,가스유틸리티
016800,가구
016880,출판
017040,전기장비
017180,제약
017370,자동차부품
017390,가스유틸리티
017550,기계
017900,전자장비와기기
017940,가스유틸리티
017960,조선
018470,비철금속
018500,자동차부품
018670,가스유틸리티
019170,제약
019180,자동차부품
019440,철강
019490,통신장비
020120,양방향미디어와서비스
020560,항공사
021050,비철금속
021820,자동차부품
023000,자동차부품
023150,음료
023350,건설
023450,화학
023590,증권
023800,자동차부품
023810,자동차부품
023960,건설
024090,비철금속
024890,"섬유,의류,신발,호화품"
024900,자동차부품
025530,자동차부품
025560,반도체와반도체장비
025620,화장품
025750,건축자재
025820,비철금속
025890,철강
026890,창업투자
026940,철강
027740,식품
028100,건설
029460,반도체와반도체장비
030210,증권
030610,증권
030720,식품
031430,"섬유,의류,신발,호화품"
031440,"호텔,레스토랑,레저"
031820,IT서비스
032350,"호텔,레스토랑,레저"
032560,비철금속
033180,전기제품
033240,통신장비
033250,자동차부품
033270,제약
034300,건설
034310,IT서비스
034590,가스유틸리티
035150,"섬유,의류,신발,호화품"
036530,자동차부품
036580,식품
037270,방송과엔터테인먼트
037560,방송과엔터테인먼트
037710,백화점과일반상점
039130,"호텔,레스토랑,레저"
039490,증권
041650,자동차부품
042700,반도체와반도체장비
044380,컴퓨터와주변기기
044450,해운사
192820,화장품
192820,화장품
047400,자동차부품
047810,우주항공과국방
049800,기계
051600,전기유틸리티
051630,화학
053210,방송과엔터테인먼트
053690,건설
057050,인터넷과카탈로그소매
058430,비철금속
058650,철강
058730,건축자재
