종목명,부채비율,유보율,매출액,EPS 증가율,ROA,ROE,EPS,BPS,PER,PBR,EVEBITDA
우리기술투자,20.47,1150.5,흑전,흑전,22.13,26.58,1458.2,6252.48,4.42,1.03,
메이슨캐피탈,18.27,N/A,흑전,흑전,6.76,8.05,30.27,396.86,10.61,0.81,
CNH,59.64,1.28,적지,적지,-13.45,-19.57,-506.96,2531.9,N/A,0.76,
디앤디파마텍,5.72,1833.6,3027.91,흑전,9.48,13.21,998.99,9667.98,,,0
세토피아,108.16,N/A,2995.52,적지,-50.13,-96.49,-412.61,468.5,N/A,4.35,N/A
올리패스,445.76,N/A,1332.04,적지,-67.18,-220.98,-4298.93,814.86,N/A,10.92,N/A
이에이트,완전잠식,N/A,1085.68,적지,-81.53,완전잠식,-761.32,-980.79,,,N/A
알테오젠,9.34,608.82,854.05,129.87,2.5,2.68,92.71,3544.08,1062.49,27.79,3417.46
한성크린텍,95.93,417.6,795.53,흑전,0.42,0.74,17.98,2588.01,91.59,0.64,36.38
코아스템켐온,296,264.35,623.75,적지,-22.6,-59.96,-534.6,1821.77,N/A,3.72,N/A
비보존 제약,62.27,N/A,589.41,흑전,0.04,0.07,1.59,2306.4,1888.02,1.3,28.9
압타바이오,50.81,425.82,569.8,적지,-16.24,-21.23,-532.58,2629.1,N/A,3.44,N/A
일월지엠엘,183,92.53,473.17,적지,-26.61,-66.49,-531.92,962.66,N/A,8.99,N/A
글로벌텍스프리,25.81,249.66,451.63,적지,-1.88,-2.39,-39.32,1748.32,N/A,2.83,34.44
모두투어,237.53,912.11,416.65,흑전,12.18,42.02,1217.1,5060.56,12.52,3.01,26.37
노을,28.9,134.03,404.51,적지,-39.36,-58.78,-543.16,1170.16,N/A,3.47,N/A
참좋은여행,69.61,1179.99,403.53,흑전,5.7,8.94,516.01,6399.97,13.43,1.08,12.08
팬엔터테인먼트,37.44,502.72,388.97,흑전,6.66,9.89,273.55,3013.61,14.02,1.27,20.09
노랑풍선,163.4,399.43,363.53,흑전,5.81,15.88,359.73,2497.14,18.26,2.63,11.33
피엔티엠에스,110.25,345.27,302.59,적지,-4.98,-12.39,-264.35,2226.37,N/A,4.14,N/A
SCL사이언스,59.54,422.41,296.81,적지,-16.54,-31.47,-791.29,2596.91,N/A,3.42,N/A
티엔엔터테인먼트,94.91,341.85,289.54,적지,-13.44,-25.5,-585.93,2069.28,N/A,1.08,3.22
