종목명,시장,부채비율,유보율,매출액증가율,EPS 증가율,ROA,ROE,EPS,BPS,PER,PBR,EV/EBITDA
OCI홀딩스,유,3.59,1956.44,3360.23,343.56,16.01,20.34,24385.87,111125.48,4.35,0.96,9.77
HS애드,유,189.52,852.18,598.4,53.88,5.03,11.55,846.49,10098.84,7.36,0.62,4.53
동국홀딩스,유,4.29,150.36,596.11,적전,-8.62,-15.54,-5316.2,21340.7,N/A,0.41,4.4
유니드비티플러스,유,14.59,1709.02,477.61,-10.2,0.4,0.45,81.2,18090.17,87.43,0.39,11.29
하나투어,유,168.68,2578.2,390,흑전,7.67,18.63,1921.48,13391,27.11,3.89,23.53
신송홀딩스,유,9.23,2213.59,320.25,477.6,16.71,18.59,1918.6,11567.93,3.16,0.52,3.5
한국금융지주,유,54.9,1956.42,319.1,73.21,13.09,19.91,18669.72,102820.91,3.28,0.6,
한미사이언스,유,51.47,1464.56,224.27,87.59,4.53,6.82,487.55,7822.8,80.4,5.01,53.51
한진칼,유,22.14,1414.24,192.7,-42.78,6.78,8.92,3224.16,37855.92,22.58,1.92,50.86
티웨이항공,유,744.47,45.29,156.53,흑전,8.29,92.52,460.05,726.47,5.2,3.29,2.2
시프트업,유,12.63,1725.89,155.16,흑전,72.13,99.16,2132.37,3568.16,,,0
한화에어로스페이스,유,350.37,1084.45,154.45,111.59,5.68,22.38,12817.69,62146.61,10.05,2.07,13.22
우리금융지주,유,7.44,531.18,152.17,18.52,5.6,6.07,1926.13,31919.2,6.75,0.41,
제이준코스메틱,유,12.86,1607.46,146.87,적지,-23.01,-25.63,-2401.5,8537.29,N/A,0.63,N/A
HLB글로벌,유,96.37,140.93,146.68,적지,-26.96,-44.64,-654.11,1204.64,N/A,4.17,N/A
제주항공,유,532.8,286.48,144.29,흑전,6.89,41.13,1604.02,3864.8,7.31,3.04,5.05
화승코퍼레이션,유,152.09,624.37,136.84,41.18,2.5,5.59,199.46,3621.84,10.18,0.56,14.34
메리츠금융지주,유,36.36,3508.57,127.24,121.99,9.59,13.97,1844.82,20067.05,32.04,2.95,
대신증권,유,430.07,609.84,125.63,692.73,4.78,27.97,7900.01,35573.6,1.81,0.4,
에어부산,유,626.97,60.76,119.87,흑전,8.05,66.45,892.88,1607.63,3.43,1.9,2.73
에이프로젠,유,144.02,164.98,118.73,적지,-11.24,-24.05,-252.95,1324.91,N/A,0.72,N/A
진에어,유,566.02,192.29,115.23,흑전,15.66,112.52,2564.4,2922.93,4.59,4.03,2.25
파라다이스,유,84.97,2240.86,112.16,20.19,1.66,2.95,345.41,12102.54,38.56,1.1,14.27
SJM홀딩스,유,9.14,2070.42,104.34,457.36,5.74,6.28,643.74,10852.09,5.79,0.34,5.54
산일전기,유,51.94,5158.09,99.25,814.81,24.16,46.03,8810.12,26290.43,,,0
한세예스24홀딩스,유,22.19,2973.18,89.05,145.62,4.37,5.21,717.65,15365.91,6.83,0.32,8.79
한화,유,209.04,595.86,85.22,-68.36,0.85,2.69,926.22,34793.23,27.8,0.74,21.74
자화전자,유,73.77,3300.78,81.87,적지,-4.02,-6.37,-1008.66,17003.9,N/A,1.66,63.68
KB금융,유,17.92,1153.63,81.05,27.93,7.07,8.61,5239.15,64949.67,10.33,0.83,
GS,유,11.9,1208.9,78.34,96.94,12.94,14.93,9264.28,65444.8,4.41,0.62,4.41
신풍,유,11.67,335.15,75.77,적지,-13.21,-14.11,-298.23,2175.75,N/A,0.38,N/A
이스타코,유,87.59,105.49,74,적지,-3.67,-6.66,-68.18,1027.46,N/A,0.71,N/A
상상인증권,유,826.91,117,68.81,-80.78,0.05,0.32,6.77,2196.11,113.45,0.35,
한국카본,유,68.36,1799.52,68.43,적전,-0.28,-0.44,-41.16,9497.61,N/A,1.23,16.99
HD현대,유,53.84,7782.94,67.93,252.53,8.69,13.47,9786.76,81264.36,6.47,0.78,15.64
영원무역홀딩스,유,5.77,9250.53,65.67,72.15,14.21,15.03,6763.87,46752.65,11.53,1.67,11.15
스틱인베스트먼트,유,11.37,1055.26,60.56,-11.87,9.74,10.71,549.82,5776.29,12.6,1.2,
현대지에프홀딩스,유,14.2,1609.99,59.44,35.53,6.53,7.76,1086.69,8647.96,3.35,0.42,62.21
카카오뱅크,유,790.66,157.12,58.3,34.73,0.76,6,744.41,12856.05,38.29,2.22,
JB금융지주,유,35.16,132.68,56.96,-42.86,6.35,8.62,986.89,11633.85,11.54,0.98,
혜인,유,121.2,1835.69,55.08,흑전,2.99,6.64,582.44,9678.44,9.75,0.59,7.45
한화오션,유,233.83,163.25,54.14,흑전,0.86,4.68,546.06,13205.64,45.97,1.9,N/A
두올,유,53.1,145.22,53.04,150.93,12.09,19.35,1070.66,6130.46,3.3,0.58,2.65
GKL,유,54.77,1223.36,51.35,흑전,7.06,11.06,705.41,6616.78,19.12,2.04,10.26
유화증권,유,58.67,629.36,49.6,74.82,0.98,1.46,98.9,7293.57,24.01,0.33,
HD한국조선해양,유,2.12,3161.16,49.53,-19.71,2.6,2.66,4259.48,163058.11,28.38,0.74,643.69
세원정공,유,8.96,7287.25,48.71,76.46,6.72,7.56,2675.37,36936.26,3.39,0.25,4.6
에스엠벡셀,유,55.24,19.71,48.2,-93.22,0.55,1.05,6.28,598.57,290.22,3.04,15.27
대상홀딩스,유,28.09,973.36,47.83,-17.3,3.92,5.05,535.01,10733.57,24.92,1.24,27.11
모나용평,유,159.78,61.1,47.68,흑전,1.11,2.73,217.15,8055.15,14.05,0.38,5.25
더본코리아,유,54.61,6008.96,47.4,35.52,10.86,17.16,1685.46,10920.68,,,0
기업은행,유,1299.7,600.12,46.89,-1.76,0.59,8.5,3024.07,36974.54,3.92,0.32,
포스코퓨처엠,유,137.02,6185.06,46.56,-72.02,0.64,1.32,414.91,31425.3,865.25,11.42,189.74
SK바이오팜,유,89.05,670.97,44.55,적지,-3.52,-6.66,-265.37,3854.83,N/A,26.05,N/A
유수홀딩스,유,3.65,312.73,44.11,-98.06,0.19,0.2,19.51,10318.23,296.77,0.56,52.67
에코프로머티,유,38.19,2175.29,43.18,-70.97,0.58,0.91,85.32,11583.6,2209.28,16.27,311.8
SG글로벌,유,37.88,505.29,42.98,1568.67,8.83,12.66,360.34,3026.44,4.29,0.51,6.17
