"종목명","일간","1주간","1개월간","YTD","1년","3년"
"코데즈컴바인","-4.43","-2.03","-0.62","-19.26","-19.98","-45.33"
"와이오엠","-0.93","-3.43","-4.97","-24.44","-34.28","-68.62"
"삼천당제약","-1.84","-13.43","-17.38","45.15","77.53","147.68"
"중앙에너비스","1.04","2.04","-13.95","10.74","12.01","21.81"
"신라섬유","0.10","-4.93","-1.57","-38.87","-41.37","-56.81"
"안국약품","0.29","0.89","-8.72","-27.74","-11.80","-30.68"
"무림SP","0.06","3.81","-0.86","-13.26","-14.82","-47.16"
"이화공영","-7.86","-17.33","9.55","-16.82","-19.43","-55.38"
"피에스텍","0.40","7.03","4.39","-3.91","-5.93","-23.29"
"선광","0.34","-1.46","-5.42","-17.28","-15.63","-73.21"
"대주산업","1.39","3.51","-1.77","-18.77","-19.57","-37.61"
"에이스침대","0.80","-3.06","-8.32","-4.16","-4.70","-39.71"
"한국가구","-0.12","13.09","9.88","1.75","1.63","-45.87"
"창해에탄올","0.11","0.33","-4.78","-5.66","-5.27","-33.62"
"대륙제관","0.51","-1.88","-4.96","-4.38","-3.92","-24.81"
"동국산업","1.11","-12.48","-20.84","13.60","15.89","47.84"
"동진쎄미켐","2.98","1.47","-9.02","-37.47","-34.42","-38.11"
"푸드웰","-1.70","6.45","-0.19","5.48","7.33","-22.39"
"대원산업","-0.84","2.60","1.54","1.54","1.02","-15.65"
"한일사료","1.17","3.46","-7.16","-11.49","-14.13","86.12"
"매일유업","0.12","0.36","0.00","3.31","-2.21","-7.47"
"서부T&D","-1.04","-2.06","-6.25","-20.83","-19.20","-28.39"
"삼일기업공사","0.34","5.27","3.81","-27.48","-27.31","-26.95"
"한탑","7.87","5.79","-1.79","-42.45","-42.08","-57.48"
"국영지앤엠","-3.43","13.19","9.96","43.50","41.67","-6.59"
"피제이전자","-0.45","-8.85","-15.30","-33.88","-27.85","-45.11"
"보성파워텍","0.66","0.00","-3.50","-7.04","3.76","-20.96"
"모헨즈","1.04","-2.60","-4.70","-38.04","-38.66","-56.90"
"푸른저축은행","0.12","2.13","-2.38","0.35","-3.47","-33.69"
"진양제약","-0.84","8.44","5.72","-4.52","-5.14","-11.79"
"에스엠코어","-1.71","-2.05","-12.87","-20.81","-20.37","-36.48"
"IREM","-3.65","-7.78","15.05","-53.55","-54.03","-57.20"
"오리콤","-0.46","-9.93","0.78","-39.19","-56.22","-9.42"
"YM","0.66","-9.11","-16.24","-16.09","-23.24","-15.00"
"대명소노시즌","-1.07","-8.65","-16.68","39.00","35.83","-38.90"
"원풍","0.31","1.44","1.03","13.23","14.42","-11.03"
"부스타","1.40","1.15","-2.21","-15.96","-18.21","-33.08"
"대동기어","0.48","-1.31","13.56","-27.15","2.85","40.03"
"삼아제약","-2.36","-9.41","-20.45","8.66","12.29","-1.27"
"삼보산업","-7.14","-6.77","-19.31","-75.11","-79.65","-86.70"
"엠에스씨","-2.31","1.85","5.77","4.36","1.10","-10.28"
"쌍용정보통신","0.64","6.61","2.61","-29.72","-24.49","-34.21"
"경동제약","0.50","0.66","-7.06","-8.32","-7.34","-48.21"
"형지I&C","0.00","-10.43","-14.17","-43.65","-43.72","-85.92"
"네이처셀","2.53","20.32","186.10","229.79","221.34","45.58"
"한일화학","-1.43","-8.19","-16.64","-37.00","-39.97","-38.02"
"원풍물산","-2.45","-4.43","-6.83","-28.25","-28.55","-63.00"
"포스코엠텍","0.36","-4.59","-14.22","-52.62","-43.94","79.05"
"대한광통신","-4.30","-30.44","-29.82","-46.87","-47.92","-73.45"
"흥국","0.43","-2.09","-6.20","-20.91","-20.51","-38.21"
"신일제약","0.00","-3.94","-12.62","-14.66","-9.37","-36.79"
"하이록코리아","3.33","2.26","0.40","-6.75","-4.79","41.19"
"동원개발","-0.63","-4.07","-7.27","-25.32","-29.24","-54.09"
"아진산업","0.00","-3.24","-10.41","-42.47","-39.38","-29.35"
"CBI","-0.82","-5.00","-13.71","-51.67","-43.86","-13.87"
"유니크","0.13","4.49","-2.83","-23.80","-22.60","-42.60"
"서한","0.00","-4.13","-5.43","-21.84","-21.52","-55.34"
"세보엠이씨","-1.02","6.14","13.57","22.54","20.74","58.43"
"뉴인텍","0.00","-1.58","-7.62","-52.21","-55.43","-85.25"
"리드코프","0.12","1.08","-4.96","-31.01","-26.70","-53.73"
"모베이스전자","0.06","-2.57","-9.34","-22.75","-18.91","-25.91"
"원일특강","-1.24","-1.78","-3.89","-18.34","-19.71","-47.28"
"스페코","1.13","-6.08","-4.86","22.22","18.26","-26.60"
"보령메디앙스","-1.48","2.56","-11.11","-38.27","-32.20","-67.74"
"원익큐브","-0.85","-2.70","-4.42","-41.81","-13.69","-61.40"
"광림","0.00","0.00","0.00","0.00","0.00","-52.55"
"고려제약","-0.98","-3.19","-11.82","-36.63","-33.77","-48.00"
"오리엔탈정공","1.83","3.85","20.76","55.87","54.25","12.37"
"삼륭물산","1.13","-2.85","-11.04","0.28","-3.11","-49.29"
"아가방컴퍼니","1.93","10.88","0.90","14.56","14.85","-18.60"
"부방","-1.31","1.28","-7.60","-49.25","-58.72","-37.26"
"성광벤드","6.96","5.69","22.71","39.06","35.71","106.22"
"코콤","1.63","-3.61","15.88","-0.64","-0.95","-28.04"
"성우하이텍","1.41","0.87","-8.85","-39.14","-34.51","0.00"
"리더스코스메틱","4.26","3.87","0.54","29.72","20.30","-24.63"
"SGC E C","1.09","-6.56","-11.71","-27.65","-27.72","-66.22"
"큐캐피탈","0.39","-4.44","-11.03","-27.93","-27.12","-62.72"
"디모아","-0.13","6.65","-8.05","-64.30","-66.49","287.46"
"카스","1.72","-3.69","-5.16","-25.35","-26.23","-73.29"
"신원종합개발","-4.31","-0.33","-11.24","-15.49","-15.01","-83.87"
"인터엠","-0.20","-1.64","-1.45","-20.34","-26.66","-26.76"
"삼현철강","0.22","3.15","-3.77","-10.00","-9.82","-24.75"
"세명전기","1.77","-2.30","-6.95","73.53","77.31","5.97"
"대림제지","-0.29","-0.72","-1.00","-14.66","-14.02","-39.48"
"한국알콜","-0.23","-3.02","-6.06","-25.11","-24.85","-30.28"
"유니슨","-1.20","-5.43","-19.69","-52.08","-47.63","-80.21"
"진로발효","-1.09","-3.80","-3.37","7.90","6.89","-45.10"
"브이티","-0.17","-6.18","-6.03","81.37","40.95","259.66"
"삼목에스폼","-3.95","-5.32","-18.32","19.41","15.07","32.87"
"우진비앤지","3.26","0.53","-9.09","-22.45","-24.54","-56.12"
"서울제약","0.00","0.00","-14.25","-8.88","0.00","-46.22"
"바른손","-0.09","-2.20","-9.66","-41.88","-36.59","-78.38"
"베뉴지","3.72","-3.04","1.36","6.70","3.72","6.44"
"와이지-원","-0.79","-0.20","-2.33","-12.52","-10.82","-36.09"
"일지테크","1.79","3.38","-3.28","6.13","-3.98","14.53"
"SBI인베스트먼트","0.98","5.85","1.40","-15.62","-5.61","-59.21"
"플루토스","-1.60","-8.61","-22.61","-53.12","-52.32","-81.57"
"엠벤처투자","0.00","0.00","0.00","17.39","19.53","-26.85"
"글로본","29.79","20.14","-11.95","-49.95","-58.01","-87.14"
"서연탑메탈","-2.02","3.32","2.23","-11.59","-5.35","-37.26"
"에너토크","1.13","-0.79","0.64","-2.79","5.38","-48.18"
"대신정보통신","0.25","-3.12","-10.42","-35.26","-36.03","-32.10"
"대동금속","0.84","-3.37","-6.08","-58.91","-30.72","-40.69"
"시공테크","0.75","0.75","-8.20","-22.85","-46.67","-43.91"
"대호특수강","0.38","-11.19","-18.21","-33.42","-34.08","74.80"
"에이티넘인베스트","0.61","-10.07","-1.41","-31.52","-13.56","-53.06"
"KCC건설","2.55","-1.35","-5.52","-19.82","-27.48","-55.08"
"한국큐빅","0.00","-10.60","-7.64","-21.58","-26.12","-49.15"
"메이슨캐피탈","2.09","-2.01","-6.98","-31.38","-1.68","-43.11"
"TKG애강","0.11","-0.54","-9.20","-22.14","-25.73","-56.18"
"태광","3.49","1.57","2.89","-3.26","-4.87","28.96"
"유진기업","0.61","-0.30","-5.14","-3.63","-7.91","-34.52"
"CNH","0.00","0.00","-61.75","-94.32","-94.05","-96.08"
"삼보판지","-1.15","-3.48","-7.23","-8.80","-4.97","-40.89"
"한국캐피탈","0.18","1.25","-1.05","-3.58","-1.57","-36.97"
"플레이위드","0.14","-7.74","-22.70","-36.16","-50.96","-71.29"
"동일철강","1.91","-2.66","-9.77","-34.98","-16.39","-72.85"
"풍국주정","-0.10","-1.20","-3.41","-19.18","-13.46","-40.00"
"대한약품","0.00","5.28","0.97","-6.67","-7.00","-12.94"
"흥구석유","0.19","4.00","-5.73","101.50","85.07","126.72"
"KB오토시스","-0.45","-2.49","-10.59","-31.94","-26.78","-49.77"
"한일단조","-0.19","-1.33","25.73","13.10","6.58","4.02"
"유성티엔에스","0.53","-1.09","-4.69","-13.72","-8.12","-39.43"
"세원물산","0.35","-3.33","-8.08","-10.63","-11.04","-7.64"
"KBI메탈","-1.76","-6.11","-24.02","54.01","58.04","15.54"
"HLB이노베이션","-6.69","0.35","-21.54","-8.33","21.44","125.20"
"케이피에프","1.42","-10.33","-14.63","-27.94","-28.59","-27.12"
"경창산업","1.96","2.72","-13.15","-13.15","-12.05","-37.82"
"PN풍년","1.70","38.37","38.12","-12.27","-7.26","45.34"
"삼천리자전거","1.46","0.26","-5.77","-41.00","-38.54","-58.72"
"시노펙스","0.16","-12.32","-12.07","-18.94","58.67","112.43"
"DH오토웨어","-12.43","325.53","371.70","126.76","138.10","-78.86"
"한국선재","-0.18","-0.53","0.54","-26.44","-31.80","-39.05"
"한국정보통신","2.76","3.27","1.23","-13.59","-8.07","-11.92"
"신라에스지","-1.20","-5.41","-7.38","-25.16","-24.28","-54.39"
"케이씨피드","-1.31","-2.12","7.51","20.68","21.66","4.70"
"동화기업","-0.92","-9.36","-24.78","-64.73","-67.64","-92.07"
"동신건설","-2.79","-36.97","-25.52","-13.32","-11.26","-50.92"
"아난티","-2.33","-5.79","10.41","-22.82","-26.32","-56.55"
"제이에스티나","-1.22","-1.49","2.00","-20.31","-18.86","-56.03"
"특수건설","-3.44","-8.98","12.16","-21.57","-21.67","-38.51"
"광진실업","-0.25","-8.12","-8.76","-49.43","-47.96","-54.74"
"서울전자통신","2.42","-1.17","-7.64","-40.52","-38.05","-66.80"
"코리아나","-0.61","3.18","-6.36","-15.33","-20.20","-40.37"
"상보","-2.45","-5.31","-18.76","-37.76","-41.59","-45.67"
"팜스토리","-0.76","-1.92","-10.98","-26.73","-27.32","-53.97"
"대성창투","-0.91","-5.43","-4.79","-23.87","-39.61","-49.63"
"휴맥스홀딩스","-2.99","-1.52","-3.47","-37.43","-37.83","-31.50"
"HLB","-10.12","17.00","0.72","38.46","125.72","81.11"
"광무","0.00","-9.43","-26.20","44.33","39.52","-61.82"
"코엔텍","0.00","0.11","21.77","29.52","24.31","0.56"
"드래곤플라이","0.00","0.00","-1.66","-62.62","-59.49","-92.60"
"한글과컴퓨터","1.06","23.38","38.13","66.78","67.13","-19.05"
"원익홀딩스","-0.38","-1.33","11.56","-22.70","-23.94","-47.64"
"양지사","-0.97","-11.72","-12.94","-36.75","-43.18","-18.31"
"아이즈비전","0.35","-2.03","-6.66","-42.96","-36.72","-59.70"
"에스에이엠티","2.10","-6.78","-15.72","-2.37","-4.46","-42.74"
"오스템","0.82","5.72","-0.30","-30.12","-30.56","-46.95"
"에스유홀딩스","3.20","8.76","-18.17","-71.53","-84.00","-19.67"
"피에스케이","0.29","-10.12","-31.74","26.90","17.32","183.82"
"아즈텍WB","-0.50","7.92","3.81","-27.77","-25.16","-67.81"
"다우데이타","1.33","2.00","-3.86","-22.29","-13.71","-29.61"
"삼일","-1.22","3.44","-0.32","-21.09","-21.33","-37.13"
"케이엠더블유","6.97","0.70","23.42","-30.67","-30.16","-77.86"
"TJ미디어","-0.31","-3.20","-7.73","-21.76","-13.20","-9.29"
"피델릭스","-2.83","-11.44","-20.14","-22.24","-12.48","-17.33"
"유비케어","0.42","-0.70","-6.55","-24.55","-21.48","-53.70"
"소프트센","-1.90","-11.93","-30.80","-47.19","-46.83","-69.12"
"삼진","-1.09","2.13","-4.23","-26.88","-17.67","-40.08"
"엠젠솔루션","-1.24","-9.64","-22.68","-31.34","-50.00","-72.64"
"판타지오","-0.48","-0.16","-23.68","-57.10","-61.25","-43.45"
"비트컴퓨터","0.93","3.71","-2.10","-16.70","-9.61","-45.06"
"원익","0.14","-0.29","-11.13","-4.92","-0.43","-18.90"
"동일기연","0.47","0.19","-3.07","-12.18","-11.34","-12.97"
"바이온","-3.81","9.25","-2.53","-42.81","-41.67","-65.95"
"제이엠아이","3.49","-1.50","-2.95","-19.93","-13.70","-23.65"
"제룡전기","2.80","-0.76","-22.16","128.68","110.32","720.21"
"디지틀조선","-0.12","-1.06","4.88","-24.75","-20.66","-46.22"
"엠케이전자","0.00","1.46","-8.44","-43.25","-43.49","-68.09"
"시그네틱스","-1.56","-6.06","-15.78","-33.50","-29.14","-56.28"
"모아텍","-0.64","-2.37","-6.23","-19.13","-22.29","-55.93"
"인성정보","2.12","3.77","-6.55","-34.76","-18.71","-41.67"
"코웰패션","-1.47","-2.20","-16.80","-58.91","-70.54","-75.15"
"엠투엔","-1.33","-0.16","-10.19","-44.01","-39.45","-83.02"
"제이씨현시스템","4.20","-4.83","3.22","-20.97","-19.14","-46.22"
"좋은사람들","1.08","0.36","-9.32","-46.54","-46.54","-46.54"
"동성화인텍","4.76","5.36","13.71","4.50","2.98","16.09"
"파라텍","0.46","22.45","5.20","-58.35","-44.07","-39.69"
"블루콤","3.49","1.24","-5.51","5.84","3.00","-66.39"
"네패스","-1.51","-7.40","-15.56","-66.90","-63.91","-81.37"
"Fino Inc","-1.65","-7.03","-29.59","299.87","284.86","617.73"
"티비씨","1.39","1.91","-4.08","-18.37","-17.18","-32.49"
"해성산업","-0.17","-3.71","-14.71","-25.93","-25.37","-59.39"
"조아제약","1.67","-9.82","-31.04","-50.88","-54.10","-74.60"
"한국기업평가","1.39","3.17","3.29","14.92","11.70","7.73"
"그래디언트","0.43","0.65","25.34","4.28","21.72","-52.72"
"프럼파스트","-3.05","-2.89","1.42","-22.28","-21.10","-64.12"
"골드앤에스","0.25","-1.97","-18.40","-37.85","-44.04","-96.60"
"기산텔레콤","1.92","2.75","-4.00","-31.12","-27.71","-35.79"
"KG이니시스","-0.23","0.11","-5.64","-26.17","-22.28","-51.45"
"솔본","1.92","-2.23","-4.98","-8.26","-8.94","-34.16"
"바른손이앤에이","0.00","-1.57","-12.22","-32.41","-31.46","-72.28"
"CJ ENM","0.00","11.30","-2.59","-16.76","-11.23","-66.69"
"이지홀딩스","0.00","3.99","9.54","-9.75","-0.35","-30.59"
"서희건설","0.29","-1.75","-4.95","2.41","2.11","-19.89"
"JYP Ent.","7.41","19.25","27.09","-37.02","-30.95","23.88"
"예림당","-0.22","-5.03","8.37","27.25","28.47","-5.43"
"아비코전자","1.21","3.25","-12.52","-68.83","-71.17","-57.71"
"케이티알파","1.05","0.00","-10.18","-35.89","-30.05","-52.42"
"위지트","-0.13","-5.70","10.53","-4.31","-14.99","-54.02"
"SCI평가정보","-0.24","-2.85","-14.26","-41.57","-43.35","-41.99"
"클라우드에어","0.48","0.00","-4.52","-6.22","-11.06","-47.58"
"지더블유바이텍","0.00","0.00","0.00","-9.28","-27.24","-75.50"
"금화피에스시","0.80","-8.70","-8.86","-3.45","-5.08","-27.69"
"유니셈","-1.19","-4.46","-14.09","-31.24","-27.62","-58.79"
"대성미생물","0.21","-0.11","-9.40","-14.61","-13.82","-38.08"
"SFA반도체","-0.16","-0.31","-9.52","-47.18","-38.04","-56.37"
"영풍정밀","0.74","-6.98","-34.08","17.28","19.06","54.88"
"감성코퍼레이션","1.68","0.83","-17.41","-4.11","-19.71","29.70"
"세종텔레콤","0.23","-6.62","-14.81","-41.57","-33.66","-69.50"
"HRS","0.61","-0.41","-6.38","-8.64","-5.12","-37.39"
"심텍홀딩스","0.33","-3.38","-26.24","-63.53","-53.12","-72.60"
"나이스정보통신","-0.28","-2.84","-4.08","-16.01","-12.77","-41.99"
"솔브레인홀딩스","0.27","-11.60","-28.25","-16.69","1.23","-14.57"
"주성엔지니어링","0.00","0.54","0.36","-19.01","-21.86","82.24"
"인지디스플레","0.86","-3.90","-10.96","-24.29","-22.19","-53.13"
"성도이엔지","0.45","3.26","-10.05","7.79","-1.77","-18.72"
"EG","-0.30","1.22","-6.75","-45.25","-42.75","-51.07"
"우리조명","1.57","-4.20","-8.27","-28.14","-24.57","-59.71"
"희림","-2.21","-6.96","19.79","-25.52","-30.56","-26.66"
"쎄니트","0.20","-3.75","-4.67","-1.84","-1.13","-30.21"
"제일테크노스","0.74","-0.15","2.27","-19.98","-30.06","-34.27"
"루멘스","-6.77","-12.75","-10.41","-14.77","-21.00","6.47"
"서린바이오","1.88","-4.28","-14.15","-29.46","-25.25","-66.69"
"KCI","0.62","-10.00","-16.92","-10.87","-6.90","-29.33"
"코맥스","0.00","0.00","0.00","-11.91","-9.98","-42.16"
"에프에스티","-1.96","-2.54","-11.95","-33.02","-28.53","-35.13"
"진성티이씨","-3.17","-1.72","4.10","-13.68","-8.22","-15.28"
"파세코","1.32","-0.56","-10.35","-46.46","-50.91","-63.28"
"한국팩키지","-1.16","-2.29","-5.82","-6.15","-6.15","-55.20"
"삼지전자","-0.47","-2.19","-2.19","-0.24","3.29","-31.89"
"엘컴텍","1.18","0.72","-9.63","-14.08","-16.77","-22.97"
"에코플라스틱","-1.37","-1.56","-13.68","-48.99","-53.75","-18.81"
"마크로젠","0.12","1.89","-12.12","-23.00","-23.55","-43.66"
"MIT","0.00","0.00","0.00","0.00","0.00","0.00"
"레드캡투어","1.58","2.11","10.91","11.47","14.86","-18.36"
"바이오스마트","-0.16","-2.87","-13.11","-6.13","-8.27","-32.60"
"삼표시멘트","0.62","4.50","7.79","3.83","-0.15","-33.33"
"케이바이오","-1.20","3.33","-7.46","-11.74","-18.95","-81.56"
"위즈코프","-0.33","4.51","0.00","-24.37","-25.31","-81.46"
"에스넷","-0.27","1.23","-2.77","-23.68","-20.56","-48.17"
"에코바이오","0.58","-1.56","-13.12","-40.29","-39.35","-56.99"
"아이에이","1.14","-2.73","-17.59","-60.53","-58.22","-83.74"
"파인디지털","-1.43","0.44","-10.29","-30.96","-33.75","-48.81"
"현대통신","0.35","-5.74","-2.38","0.00","0.17","-35.03"
"이건홀딩스","1.10","2.81","10.41","28.87","17.31","-41.35"
