"종목명","일간","1주간","1개월간","YTD","1년","3년"
"한온시스템","1.50","0.49","8.69","-44.24","-43.46","-69.66"
"금호석유","-0.56","-3.00","-23.05","-19.64","-18.47","-34.28"
"LG전자","0.78","3.30","-6.68","-10.81","-14.82","-31.99"
"삼성전기","-0.98","0.36","-9.43","-27.28","-19.33","-35.98"
"한올바이오파마","-3.66","-14.37","-13.79","-13.88","8.69","91.23"
"제일기획","-0.77","1.69","-1.04","-5.36","-11.50","-22.87"
"대웅제약","1.96","-6.47","-18.14","11.30","19.71","-6.14"
"롯데에너지머티리얼즈","-2.01","-16.49","-28.21","-36.15","-37.63","-79.43"
"남해화학","0.80","-0.63","-3.22","-14.59","-14.71","-47.98"
"한화에어로스페이스 ","-2.80","-7.74","-1.55","196.21","204.03","771.00"
"세아제강지주","0.06","-7.79","-2.02","-31.42","-12.63","56.76"
"SK디스커버리","1.53","3.41","9.97","-7.14","-9.79","-24.40"
"KG모빌리티","-0.12","2.22","-19.04","-52.25","-47.47","49.64"
"티비에이치글로벌","-2.66","-7.08","-13.71","-31.87","-35.05","-53.54"
"현대미포조선","6.04","8.69","11.26","38.52","51.74","62.21"
"한국앤컴퍼니","0.24","0.65","3.02","9.17","32.63","5.12"
"롯데정밀화학","-0.41","-4.79","-21.97","-36.64","-37.71","-53.83"
"HMM","1.16","14.04","6.34","-6.69","14.83","-28.63"
"삼성중공업","0.43","1.38","16.82","51.48","52.07","105.96"
"대한제분","0.40","0.48","-6.86","-1.25","-2.25","-17.79"
"동국홀딩스","-0.40","-1.96","-6.61","-14.69","-18.50","-53.62"
"대한전선","1.95","-0.95","-7.94","26.64","6.47","-33.53"
"삼성화재","-1.36","5.81","3.26","38.40","45.89","66.97"
"현대건설","-2.42","-1.57","-6.30","-19.05","-23.34","-41.27"
"현대백화점","-0.70","0.00","-8.83","-18.24","-18.56","-44.64"
"HJ중공업","-0.48","4.50","25.40","-29.55","-20.33","-62.36"
"롯데케미칼","2.12","-13.05","-24.97","-56.07","-57.08","-67.88"
"하이트진로홀딩스","-0.21","2.26","4.05","9.06","5.43","-31.09"
"CJ제일제당","5.24","5.65","-3.73","-16.36","-15.31","-25.75"
"CJ대한통운","0.63","-1.00","-11.09","-37.58","-11.68","-41.83"
"하나금융지주","-0.33","-2.28","-8.54","38.25","44.23","41.18"
"현대글로비스","1.77","5.59","0.17","26.16","36.57","-23.79"
"일진전기","1.70","-12.11","-6.99","125.09","108.24","364.15"
"고려아연","-0.30","-12.17","21.72","101.41","102.01","104.49"
"국도화학","-1.82","-1.49","-11.08","-27.47","-26.03","-48.17"
"롯데쇼핑","-0.34","-4.93","-9.97","-22.93","-27.02","-41.50"
"SGC에너지","1.18","1.58","-12.41","-5.68","-9.17","-44.26"
"디와이","0.57","-0.34","-6.50","-25.43","-25.80","-28.00"
"세방전지","-1.48","-4.99","-9.26","14.43","22.20","-21.65"
"HDC","0.36","-2.76","2.36","63.43","65.59","11.49"
"롯데칠성","1.90","8.15","-2.40","-19.44","-21.84","-13.80"
"CR홀딩스","0.18","-0.70","-1.57","-12.54","-18.12","-33.76"
"한국쉘석유","1.64","1.64","6.56","50.88","41.79","23.33"
"부광약품","1.12","-0.44","-11.76","-26.23","-25.25","-65.52"
"동원F&B","-0.32","-4.19","-5.08","-5.66","-2.53","-21.30"
"한화엔진","0.39","1.23","-1.51","59.75","81.02","142.44"
"한솔홀딩스","2.04","1.58","-2.60","-21.60","-17.58","-39.84"
"현대모비스","-3.29","-2.15","2.25","5.49","10.86","5.04"
"현대차","-0.23","4.59","-7.68","6.39","17.92","3.34"
"현대제철","1.40","-0.68","-20.00","-40.27","-37.18","-46.04"
"일진디스플","-0.36","-2.09","-10.33","-38.32","-10.43","-66.83"
"LX하우시스","-1.00","-7.95","-17.26","-20.30","-19.84","-43.95"
"남양유업","0.00","0.00","19.27","13.18","39.49","41.65"
"SK이노베이션","9.32","4.60","-0.62","-20.60","-20.77","-48.55"
"팬오션","-0.41","4.76","1.25","-2.68","-13.56","-34.27"
"한국단자","-1.24","-1.37","1.70","-4.27","-4.77","1.70"
"삼성증권","-0.76","0.55","-3.48","18.70","17.63","-3.79"
"한일홀딩스","0.37","-1.30","2.48","22.02","17.60","10.49"
"이수화학","1.80","-11.47","-16.69","-50.33","-49.06","-55.18"
"송원산업","3.16","-7.47","-13.06","-34.11","-39.57","-38.05"
"KB금융","0.33","-0.97","-2.75","69.69","70.32","61.90"
"BNK금융지주","-0.11","-2.11","-4.82","30.11","30.85","9.68"
"현대엘리베이","-1.17","3.17","12.85","13.87","9.90","10.14"
"아모레퍼시픽","0.00","-1.08","-12.07","-24.14","-18.94","-38.20"
"종근당","-1.58","-6.73","-16.13","-15.71","-9.76","-36.43"
"대원강업","0.26","-4.64","-2.31","-30.06","-29.01","-5.11"
"DB하이텍","5.48","3.53","-12.81","-42.49","-40.46","-53.45"
"KG스틸","0.94","2.38","-3.30","-27.53","-20.57","-41.10"
"일양약품","0.00","-8.42","-16.16","-29.07","-24.34","-62.94"
"강원랜드","-0.23","-1.10","0.95","6.31","9.67","-32.50"
"KPX케미칼","0.56","-0.66","-5.83","3.91","0.67","-17.82"
"LG화학","0.35","-4.91","-11.57","-41.78","-41.13","-61.68"
"락앤락","-0.12","0.00","0.35","39.61","48.46","-15.00"
"SNT중공업","4.02","-3.34","-7.17","70.83","68.49","170.03"
"삼성카드","-0.73","-0.25","-0.98","25.35","22.88","19.62"
"삼성생명","-3.86","3.56","3.56","51.37","51.16","61.42"
"삼양홀딩스","0.00","0.00","-8.27","-1.88","-4.11","-34.59"
"SK하이닉스","-0.41","-7.97","-8.70","20.85","30.14","53.36"
"태광산업","-0.45","6.69","2.60","9.84","8.94","-30.64"
"삼성전자","-0.35","6.60","-4.56","-28.03","-22.28","-20.65"
"대덕","0.00","0.47","4.53","1.10","0.94","-18.54"
"삼성엔지니어링","-0.51","0.11","-14.67","-39.24","-31.97","-20.81"
"한화오션","-2.76","0.68","20.10","47.61","34.97","43.33"
"동아쏘시오홀딩스","-1.85","-5.51","-10.38","10.30","17.88","5.59"
"SK네트웍스","-0.12","-4.62","-15.89","-24.52","-23.73","-14.57"
"한미약품","-0.53","-9.42","-19.12","-19.57","-3.93","13.96"
"미래에셋증권","-1.25","3.58","-4.20","13.63","18.77","-4.20"
"한솔테크닉스","0.12","-0.37","-8.86","-42.22","-38.96","-37.34"
"아모레G","-0.67","1.36","-5.31","-23.76","-24.92","-52.40"
"DN오토모티브","1.04","1.71","2.16","26.20","29.38","-71.48"
"서연","-1.15","1.48","-3.24","-20.02","-15.19","-49.67"
"한화생명","0.00","-4.95","-8.03","-4.95","-1.82","-17.10"
"현대위아","-0.35","3.67","-10.65","-34.95","-25.31","-44.93"
"엔씨소프트","1.46","1.46","7.98","-13.31","-17.75","-72.20"
"삼성SDI","-1.33","-2.08","-21.52","-45.13","-43.76","-65.79"
"세아베스틸지주","-0.63","0.85","19.25","-4.02","1.06","17.78"
"유수홀딩스","0.20","1.19","-2.68","-12.09","-14.45","-14.88"
"신한지주","0.75","-3.41","-4.60","34.25","48.48","44.31"
"롯데지주","0.73","-6.97","-13.75","-23.48","-28.62","-35.91"
"DB손해보험","1.32","3.08","-2.10","28.08","30.73","90.07"
