"종목명","평균 거래량","총 시가","매출","주가수익비율","베타"
"코데즈컴바인","5.1M","57.11B","40.76B","","0.922"
"와이오엠","74.3K","21.14B","9.22B","6.05","0.725"
"삼천당제약","432.86K","2.66T","204.28B","-568.56","1.45"
"중앙에너비스","254.59K","85.53B","51.26B","","0.584"
"신라섬유","1.01M","24.3B","3.66B","-45.75","0.877"
"안국약품","33.05K","77.06B","252.48B","5.25","0.672"
"무림SP","101.5K","35.6B","172.02B","10.98","1.02"
"이화공영","645.79K","57.93B","159.97B","31.80","1.00"
"피에스텍","11.01K","62.64B","77.05B","-164.14","0.652"
"선광","5.25K","85.4B","185.32B","3.38","0.446"
"대주산업","277.37K","48.35B","104.78B","4.26","0.898"
"에이스침대","3.26K","265.51B","323.16B","4.28",""
"한국가구","23.13K","56.44B","111.89B","4.92","0.752"
"창해에탄올","7.88K","69.42B","137.70B","6.13","0.282"
"대륙제관","14.23K","62.1B","62.62B","57.21","0.68"
"동국산업","267.49K","278.75B","789.61B","21.30","0.773"
"동진쎄미켐","337.98K","1.21T","1.32T","10.27","1.32"
"푸드웰","13.61K","49.88B","280.12B","4.66",""
"대원산업","20.9K","119.82B","795.75B","3.06","0.493"
"한일사료","889.72K","151.51B","416.77B","","-0.478"
"매일유업","6.42K","105.49B","2.16T","2.13","0.631"
"서부T&D","87.12K","365.76B","180.52B","","0.82"
"삼일기업공사","16.78K","37.01B","85.56B","13.80","1.09"
"한탑","416.93K","20.5B","87.84B","-2.39","0.261"
"국영지앤엠","1.14M","70.16B","77.01B","96.04","0.056"
"피제이전자","13.52K","66.75B","162.37B","9.05",""
"보성파워텍","1.89M","147.52B","9.29B","109.91",""
"모헨즈","45.86K","26.32B","106.27B","10.58","1.13"
"푸른저축은행","14.57K","102.39B","0.00","12.10","-0.378"
"진양제약","1.06M","67.65B","111.15B","2.47","-0.234"
"에스엠코어","79.98K","85.55B","159.04B","-10.80","0.966"
"IREM","4.93M","58.47B","66.61B","7.60","-0.22"
"오리콤","40.37K","75.08B","219.09B","7.56","0.527"
"YM","13.35K","43.37B","168.69B","13.76","1.09"
"대명소노시즌","9.01M","84.97B","144.55B","38.93","0.675"
"원풍","23.39K","53.67B","81.25B","6.56","0.336"
"부스타","3.85K","31.68B","101.70B","22.35","0.56"
"대동기어","128.12K","74.15B","269.95B","27.26","0.668"
"삼아제약","45.88K","111.39B","102.55B","5.29","0.369"
"삼보산업","627.38K","18.59B","393.04B","-0.794",""
"엠에스씨","734.76K","99.09B","184.61B","5.05","0.736"
"쌍용정보통신","64.54K","40.7B","354.61B","14.77","0.562"
"경동제약","53.85K","162.46B","178.59B","","0.749"
