"종목명","평균 거래량","총 시가","매출","주가수익비율","베타"
"한온시스템","1.67M","2.14T","9.75T","-18.26","0.958"
"금호석유","119.01K","2.62T","6.54T","9.96","0.728"
"LG전자","472.67K","15.44T","86.60T","17.15","1.27"
"삼성전기","290.62K","8.33T","9.87T","18.22","1.13"
"한올바이오파마","901.57K","2.01T","130.37B","-294.27",""
"제일기획","242.52K","1.84T","4.33T","9.59","0.345"
"대웅제약","53.26K","1.47T","1.40T","17.99","0.86"
"롯데에너지머티리얼즈","228.01K","1.26T","951.62B","357.15","1.29"
"남해화학","122.14K","300.64B","1.54T","10.18","0.284"
"한화에어로스페이스 ","445.5K","17.87T","10.05T","","0.983"
"세아제강지주","5.34K","664.66B","3.75T","4.59",""
"SK디스커버리","19.49K","679.06B","8.76T","10.35","0.857"
"KG모빌리티","371.17K","815.08B","3.63T","34.75","0.479"
"티비에이치글로벌","22.56K","25.88B","179.22B","35.19",""
"현대미포조선","279.09K","4.42T","4.23T","-56.41","1.02"
"한국앤컴퍼니","99.04K","1.61T","1.33T","4.67","0.888"
"롯데정밀화학","90.37K","939.84B","1.63T","9.72","0.74"
"HMM","1.33M","15.91T","9.18T","","1.23"
"삼성중공업","5.43M","9.99T","9.34T","-102.55","1.11"
"대한제분","1.1K","206.8B","1.40T","2.64","0.702"
"동국홀딩스","28.25K","233.88B","1.85T","0.314",""
"대한전선","1.54M","2.09T","3.04T","19.90",""
"삼성화재","93.42K","15.43T","20.42T","","0.529"
"현대건설","388.59K","3.27T","33.62T","6.49","1.10"
"현대백화점","50.7K","932.12B","4.11T","-4.52","0.775"
"HJ중공업","137.13K","262.3B","2.17T","12.64",""
"롯데케미칼","148.38K","2.78T","20.16T","-12.31","0.677"
"하이트진로홀딩스","25.6K","208.93B","2.58T","5.17",""
"CJ제일제당","41.06K","3.95T","29.19T","8.99","0.497"
"CJ대한통운","77.25K","1.57T","11.98T","9.37","0.467"
"하나금융지주","1.05M","17.03T","10.18T","5.24","0.86"
"현대글로비스","187.76K","8.9T","26.50T","7.84","0.757"
"일진전기","747.45K","1.12T","1.46T","27.30",""
"고려아연","185.68K","18.27T","10.14T","","0.317"
"국도화학","10.8K","252.3B","1.26T","","0.498"
"롯데쇼핑","60.26K","1.64T","14.14T","","0.615"
"SGC에너지","31.93K","366.66B","2.64T","3.89","0.395"
"디와이","159.94K","107.56B","1.20T","","0.955"
"세방전지","88.35K","886.03B","1.90T","5.65","1.50"
"HDC","123.12K","561.35B","5.96T","4.44","0.811"
"롯데칠성","12.76K","1.12T","3.78T","","0.555"
"CR홀딩스","19.31K","232.69B","825.40B","-175.11","0.767"
"한국쉘석유","2.4K","436.15B","330.34B","10.52","0.235"
"부광약품","244.33K","304.62B","116.58B","13.32","-0.17"
"동원F&B","18.22K","597.2B","4.42T","4.67","0.555"
"한화엔진","680.59K","1.3T","788.33B","535.25","1.55"
"한솔홀딩스","53.44K","90.46B","442.68B","6.78","0.568"
"현대모비스","192.59K","23.27T","57.43T","5.77","0.808"
"현대차","742.4K","53.54T","168.34T","4.58","1.01"
"현대제철","420.36K","2.83T","24.38T","-79.48","1.23"
"일진디스플","39.72K","43.48B","84.95B","0.41","1.46"
"LX하우시스","17.15K","336.38B","3.54T","6.18","1.37"
"남양유업","2.87K","545.55B","974.28B","-13.28","0.822"
"SK이노베이션","323.69K","15.12T","77.07T","-313.34","1.62"
"팬오션","1.96M","1.95T","4.51T","6.17","1.16"
"한국단자","41.59K","749.9B","1.39T","6.18","1.12"
"삼성증권","289.55K","4.11T","10.46T","6.08","0.703"
